profile,actor,DPS,int,haste,crit,mastery,vers,
composite,ViV_GT_ST_FS_BoP,12778,1.00,0.84,0.71,0.58,0.80,
composite,ViV_Butc_BS_MB_Chak,15179,1.00,0.79,0.70,0.61,0.80,
composite,ViV_HB_BS_FS_Chak,16536,1.00,0.73,0.69,0.66,0.80,
composite,ViV_HB_BS_TotS_Chak,16359,1.00,0.76,0.69,0.69,0.80,
composite,ViV_GT_BS_MB_WI,12931,1.00,0.61,0.73,0.59,0.80,
composite,AP_GT_BS_MB_WI,12413,0.98,0.56,0.71,0.53,0.78,
composite,AP_Butc_ST_FS_Chak,15237,1.00,0.85,0.70,0.62,0.80,
composite,ToE_Butc_ST_MB_WI,14038,1.00,0.94,0.74,0.59,0.81,
composite,ToE_Butc_ST_MB_Chak,13995,1.00,0.79,0.73,0.64,0.81,
composite,AP_Butc_ST_MB_BoP,14046,1.00,0.93,0.72,0.59,0.80,
composite,AP_Butc_ST_TotS_Chak,14159,1.00,0.66,0.70,0.63,0.81,
composite,ViV_Butc_ST_FS_WI,14868,1.00,0.96,0.70,0.61,0.80,
composite,ViV_Butc_BS_TotS_WI,15392,1.00,0.91,0.70,0.59,0.81,
composite,ViV_GT_BS_FS_Chak,13262,1.00,0.72,0.72,0.59,0.80,
composite,ViV_GT_AMoC_TotS_Chak,12722,1.00,0.77,0.72,0.70,0.80,
composite,AP_Butc_BS_TotS_BoP,14998,1.00,0.54,0.69,0.56,0.80,
composite,ToE_GT_AMoC_FS_BoP,12507,1.00,0.77,0.71,0.60,0.80,
composite,ToE_Butc_AMoC_FS_BoP,14558,1.00,0.74,0.70,0.65,0.80,
composite,AP_Butc_BS_MB_Chak,15171,1.00,0.70,0.72,0.57,0.79,
composite,ToE_Butc_BS_FS_BoP,15720,1.00,0.66,0.70,0.56,0.80,
composite,AP_HB_BS_MB_Chak,14501,1.00,0.72,0.73,0.57,0.79,
composite,ToE_HB_AMoC_TotS_BoP,13838,1.00,0.85,0.69,0.69,0.80,
composite,ViV_HB_AMoC_FS_Chak,15402,1.00,0.73,0.68,0.75,0.81,
composite,ViV_Butc_ST_TotS_WI,14660,1.00,0.99,0.70,0.64,0.81,
composite,ViV_HB_ST_FS_BoP,15165,1.00,0.80,0.68,0.68,0.80,
composite,ToE_Butc_ST_FS_WI,14518,1.00,0.91,0.71,0.58,0.81,
composite,ToE_Butc_BS_TotS_BoP,15059,1.00,0.69,0.70,0.58,0.81,
composite,Base,10725,1.00,0.82,0.67,0.61,0.80,
composite,ToE_Butc_AMoC_TotS_BoP,13972,1.00,0.65,0.70,0.67,0.81,
composite,AP_GT_ST_TotS_Chak,12469,0.98,0.80,0.70,0.58,0.78,
composite,ToE_Butc_AMoC_FS_WI,14615,1.00,0.85,0.70,0.63,0.80,
composite,ViV_GT_BS_FS_WI,13062,1.00,0.51,0.70,0.57,0.80,
composite,ViV_Butc_AMoC_FS_Chak,15008,1.00,0.77,0.70,0.69,0.81,
composite,AP_GT_BS_MB_BoP,12396,0.98,0.80,0.71,0.52,0.78,
composite,ViV_HB_AMoC_TotS_Chak,15262,1.00,0.77,0.69,0.79,0.81,
composite,ToE_Butc_AMoC_MB_Chak,14029,1.00,0.76,0.73,0.69,0.81,
composite,ToE_GT_ST_MB_BoP,12530,1.00,0.93,0.74,0.59,0.81,
composite,AP_GT_ST_MB_WI,12289,0.98,0.98,0.72,0.56,0.79,
composite,ToE_GT_AMoC_MB_BoP,12449,1.00,0.90,0.73,0.64,0.80,
composite,AP_GT_BS_TotS_BoP,12285,0.98,0.74,0.69,0.52,0.77,
composite,AP_HB_ST_TotS_Chak,14301,1.00,0.83,0.70,0.65,0.80,
composite,AP_HB_AMoC_MB_BoP,13568,1.00,0.81,0.73,0.63,0.80,
composite,AP_Butc_ST_FS_BoP,14680,1.00,0.88,0.69,0.58,0.80,
