profile,actor,DPS,increase,
composite,ViV_HB_BS_FS_BoP,13342,31.92%,
composite,ViV_HB_BS_FS_Chak,13309,31.59%,
composite,ViV_GT_BS_FS_Chak,13257,31.07%,
composite,ViV_HB_BS_FS_WI,13229,30.80%,
composite,ViV_HB_BS_TotS_BoP,13194,30.45%,
composite,ViV_GT_BS_FS_BoP,13194,30.45%,
composite,ViV_HB_BS_TotS_WI,13114,29.66%,
composite,ViV_HB_BS_TotS_Chak,13058,29.11%,
composite,ToE_GT_BS_FS_Chak,12968,28.22%,
composite,ViV_GT_BS_TotS_BoP,12959,28.13%,
composite,ViV_GT_BS_FS_WI,12953,28.07%,
composite,ViV_HB_AMoC_FS_Chak,12909,27.64%,
composite,ViV_GT_BS_TotS_Chak,12907,27.62%,
composite,ViV_HB_AMoC_FS_BoP,12898,27.52%,
composite,ToE_GT_BS_FS_BoP,12895,27.50%,
composite,AP_GT_BS_FS_Chak,12884,27.39%,
composite,ViV_HB_AMoC_FS_WI,12868,27.23%,
composite,ViV_GT_AMoC_FS_Chak,12864,27.20%,
composite,ViV_HB_AMoC_TotS_WI,12863,27.18%,
composite,ViV_GT_BS_TotS_WI,12852,27.07%,
composite,ViV_Butc_BS_FS_BoP,12816,26.71%,
composite,ViV_HB_AMoC_TotS_BoP,12810,26.66%,
composite,AP_GT_BS_FS_BoP,12808,26.63%,
composite,ViV_HB_ST_FS_Chak,12805,26.61%,
composite,ViV_HB_ST_FS_BoP,12791,26.47%,
composite,ViV_HB_ST_TotS_WI,12779,26.35%,
composite,ToE_HB_BS_FS_Chak,12774,26.30%,
composite,ViV_GT_AMoC_FS_BoP,12774,26.30%,
composite,AP_GT_AMoC_FS_Chak,12774,26.30%,
composite,ViV_GT_ST_FS_Chak,12771,26.27%,
composite,ToE_HB_BS_FS_BoP,12769,26.25%,
composite,ViV_HB_ST_TotS_BoP,12766,26.22%,
composite,ViV_HB_ST_FS_WI,12751,26.08%,
composite,ViV_Butc_BS_FS_Chak,12748,26.04%,
composite,ViV_HB_AMoC_TotS_Chak,12742,25.98%,
composite,AP_HB_AMoC_TotS_WI,12716,25.73%,
composite,ViV_HB_ST_TotS_Chak,12713,25.70%,
composite,AP_HB_BS_FS_Chak,12702,25.59%,
composite,ToE_HB_BS_FS_WI,12697,25.54%,
composite,ToE_GT_BS_TotS_BoP,12697,25.54%,
composite,AP_Butc_BS_FS_Chak,12694,25.51%,
composite,ViV_HB_BS_MB_BoP,12692,25.49%,
composite,ViV_Butc_BS_FS_WI,12690,25.47%,
composite,ViV_GT_ST_FS_BoP,12689,25.46%,
composite,ToE_GT_BS_TotS_Chak,12688,25.45%,
composite,ViV_GT_BS_MB_BoP,12688,25.45%,
composite,AP_HB_BS_FS_BoP,12678,25.35%,
composite,AP_GT_AMoC_TotS_Chak,12678,25.35%,
