profile,actor,DPS,increase,
composite,dead_eye_spyglass_385,13445,12.57%,
composite,dead_eye_spyglass_380,13399,12.19%,
composite,dead_eye_spyglass_375,13354,11.81%,
composite,dead_eye_spyglass_370,13307,11.41%,
composite,dead_eye_spyglass_365,13267,11.08%,
composite,dead_eye_spyglass_360,13222,10.70%,
composite,dead_eye_spyglass_355,13178,10.33%,
composite,dead_eye_spyglass_350,13143,10.04%,
composite,dead_eye_spyglass_345,13103,9.70%,
composite,dead_eye_spyglass_340,13065,9.38%,
composite,dead_eye_spyglass_335,13030,9.09%,
composite,dead_eye_spyglass_330,12988,8.74%,
composite,dead_eye_spyglass_325,12956,8.48%,
composite,dead_eye_spyglass_320,12925,8.21%,
composite,dead_eye_spyglass_315,12889,7.91%,
composite,dead_eye_spyglass_310,12855,7.63%,
composite,spiritbound_voodoo_burl_385,12826,7.39%,
composite,lustrous_golden_plumage_385,12814,7.29%,
composite,spiritbound_voodoo_burl_380,12791,7.09%,
composite,lustrous_golden_plumage_380,12778,6.99%,
composite,construct_overcharger_385,12761,6.84%,
composite,spiritbound_voodoo_burl_375,12760,6.83%,
composite,lustrous_golden_plumage_375,12747,6.72%,
composite,landois_scrutiny_385,12745,6.71%,
composite,spiritbound_voodoo_burl_370,12727,6.55%,
composite,construct_overcharger_380,12725,6.54%,
composite,lustrous_golden_plumage_370,12716,6.46%,
composite,landois_scrutiny_380,12711,6.42%,
composite,spiritbound_voodoo_burl_365,12699,6.32%,
composite,construct_overcharger_375,12696,6.29%,
composite,lustrous_golden_plumage_365,12686,6.21%,
composite,landois_scrutiny_375,12681,6.17%,
composite,spiritbound_voodoo_burl_360,12671,6.09%,
composite,construct_overcharger_370,12665,6.03%,
composite,lustrous_golden_plumage_360,12657,5.97%,
composite,landois_scrutiny_370,12650,5.91%,
composite,spiritbound_voodoo_burl_355,12642,5.85%,
composite,construct_overcharger_365,12637,5.81%,
composite,lustrous_golden_plumage_355,12631,5.75%,
composite,landois_scrutiny_365,12625,5.70%,
composite,spiritbound_voodoo_burl_350,12616,5.63%,
composite,construct_overcharger_360,12608,5.56%,
composite,lustrous_golden_plumage_350,12604,5.52%,
composite,landois_scrutiny_360,12597,5.47%,
composite,spiritbound_voodoo_burl_345,12590,5.41%,
composite,construct_overcharger_355,12585,5.36%,
composite,lustrous_golden_plumage_345,12577,5.30%,
composite,landois_scrutiny_355,12570,5.24%,
composite,spiritbound_voodoo_burl_340,12567,5.22%,
composite,construct_overcharger_350,12559,5.15%,
composite,xalzaixs_veiled_eye_385,12559,5.15%,
composite,frenetic_corpuscle_385,12559,5.15%,
composite,lustrous_golden_plumage_340,12556,5.12%,
composite,landois_scrutiny_350,12546,5.04%,
composite,spiritbound_voodoo_burl_335,12543,5.02%,
composite,kul_tiran_cannonball_runner_385,12534,4.94%,
composite,frenetic_corpuscle_380,12534,4.94%,
composite,xalzaixs_veiled_eye_380,12533,4.93%,
composite,construct_overcharger_345,12533,4.93%,
composite,tiny_electromental_in_a_jar_385,12533,4.93%,
composite,lustrous_golden_plumage_335,12532,4.93%,
